team_name,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.2,67,15,67,15,11.63,-0.28,11.35,115.6,104.0,99.8,.259,.359,.597,.563,13.2,22.8,.204,.485,13.5,74.9,.198
San Antonio Spurs,29.6,61,21,60,22,7.20,-0.06,7.13,111.1,103.5,94.2,.263,.281,.564,.524,12.6,24.0,.210,.492,13.5,77.6,.192
Houston Rockets,27.4,55,27,55,27,5.77,0.08,5.84,114.7,109.0,100.0,.304,.462,.583,.545,13.3,24.6,.233,.519,13.2,75.8,.194
Los Angeles Clippers,30.0,51,31,52,30,4.29,0.13,4.42,112.7,108.2,96.1,.312,.329,.575,.537,12.1,21.5,.233,.506,12.2,76.9,.211
Utah Jazz,26.8,51,31,52,30,3.94,0.06,4.00,109.6,105.3,91.6,.288,.327,.563,.526,13.2,23.2,.215,.493,11.8,78.9,.195
Toronto Raptors,26.1,51,31,52,30,4.21,-0.56,3.65,112.3,107.8,94.7,.293,.289,.561,.517,11.8,25.0,.233,.507,13.6,76.3,.223
Cleveland Cavaliers,29.2,51,31,49,33,3.18,-0.31,2.87,113.6,110.3,96.2,.275,.399,.580,.547,12.6,22.0,.206,.516,11.4,75.8,.175
Boston Celtics,25.9,53,29,48,34,2.63,-0.39,2.25,111.1,108.4,96.8,.273,.393,.567,.525,12.2,21.2,.220,.503,12.6,75.4,.223
Washington Wizards,26.0,49,33,46,36,1.80,-0.45,1.36,111.2,109.3,97.3,.254,.285,.564,.528,12.8,24.0,.199,.524,13.8,75.5,.213
Oklahoma City Thunder,24.7,47,35,43,39,0.76,0.39,1.14,108.3,107.5,97.8,.295,.295,.540,.500,13.2,28.0,.220,.511,12.5,79.0,.218
Memphis Grizzlies,29.5,43,39,42,40,0.49,0.47,0.96,107.6,107.1,92.3,.280,.317,.535,.491,12.1,24.7,.219,.506,13.6,77.5,.256
Miami Heat,26.5,41,41,44,38,1.06,-0.29,0.77,107.8,106.7,95.2,.251,.314,.541,.512,12.4,24.2,.177,.496,12.6,76.4,.220
Denver Nuggets,25.2,40,42,42,40,0.51,0.19,0.70,113.2,112.7,98.3,.276,.329,.568,.530,13.2,27.3,.214,.532,10.9,78.6,.194
Chicago Bulls,26.9,41,41,42,40,0.43,-0.39,0.03,107.4,107.0,95.3,.259,.256,.530,.487,12.2,27.0,.206,.507,12.4,76.8,.169
Charlotte Hornets,26.5,36,46,42,40,0.20,-0.26,-0.07,108.8,108.6,95.7,.279,.335,.547,.501,10.7,19.9,.227,.524,12.1,79.6,.164
Portland Trail Blazers,24.8,41,41,40,42,-0.52,0.30,-0.23,110.3,110.8,96.7,.275,.322,.559,.520,12.5,23.0,.214,.508,11.6,76.8,.241
Milwaukee Bucks,25.6,42,40,40,42,-0.18,-0.26,-0.45,109.1,109.3,94.5,.274,.290,.565,.528,13.2,21.5,.210,.518,13.6,75.4,.215
Indiana Pacers,27.0,42,40,40,42,-0.22,-0.42,-0.64,108.6,108.8,95.9,.261,.272,.558,.516,12.7,21.2,.211,.512,13.6,75.4,.225
Minnesota Timberwolves,24.0,31,51,38,44,-1.11,0.47,-0.64,110.8,112.0,94.6,.287,.249,.555,.511,12.9,27.2,.229,.535,13.2,75.9,.212
Atlanta Hawks,27.9,43,39,39,43,-0.85,-0.38,-1.23,104.9,105.8,97.4,.295,.309,.541,.504,14.2,23.7,.214,.507,13.8,76.1,.179
Detroit Pistons,25.4,37,45,38,44,-1.12,-0.17,-1.29,106.0,107.2,95.0,.218,.263,.521,.492,10.9,24.1,.157,.516,12.1,81.2,.197
New Orleans Pelicans,25.7,34,48,35,47,-2.10,0.41,-1.69,105.3,107.4,98.0,.256,.308,.539,.504,11.7,18.6,.192,.509,12.4,76.7,.177
Dallas Mavericks,27.6,33,49,33,49,-2.93,0.40,-2.53,105.6,108.8,92.2,.225,.366,.541,.505,11.6,18.2,.180,.530,14.4,77.6,.218
Sacramento Kings,27.8,32,50,31,51,-3.88,0.58,-3.29,107.3,111.3,94.9,.284,.291,.556,.516,13.7,21.0,.220,.528,12.9,76.3,.227
New York Knicks,27.3,31,51,31,51,-3.67,-0.20,-3.87,107.8,111.5,96.0,.239,.279,.534,.496,12.5,26.5,.188,.511,11.7,74.1,.214
Phoenix Suns,25.0,24,58,27,55,-5.63,0.49,-5.14,106.6,112.2,100.3,.297,.256,.538,.493,13.4,26.1,.231,.525,13.1,76.4,.264
Philadelphia 76ers,24.6,28,54,26,56,-5.70,-0.14,-5.83,103.2,108.9,98.5,.258,.349,.540,.501,14.9,22.4,.199,.513,13.5,75.3,.234
Los Angeles Lakers,25.1,26,56,24,58,-6.88,0.58,-6.29,106.0,113.0,98.5,.259,.294,.537,.501,13.5,25.0,.195,.542,13.0,75.8,.213
Orlando Magic,25.3,29,53,24,58,-6.57,-0.04,-6.61,103.7,110.4,96.8,.246,.300,.524,.489,12.1,21.6,.184,.523,11.9,77.3,.201
Brooklyn Nets,26.0,20,62,24,58,-6.73,-0.01,-6.74,104.1,110.7,101.3,.289,.371,.551,.507,14.7,19.5,.228,.513,11.6,76.2,.212
