team_name,opp_mp,opp_fg_pct,opp_avg_dist,opp_fg2a_pct_fga,opp_pct_fga_00_03,opp_pct_fga_03_10,opp_pct_fga_10_16,opp_pct_fga_16_xx,opp_fg3a_pct_fga,opp_fg2_pct,opp_fg_pct_00_03,opp_fg_pct_03_10,opp_fg_pct_10_16,opp_fg_pct_16_xx,opp_fg3_pct,opp_fg2_pct_ast,opp_pct_fg2_dunk,opp_fg2_dunk,opp_pct_fg2_layup,opp_fg2_layup,opp_fg3_pct_ast,opp_pct_fg3a_corner,opp_fg3_pct_corner
Atlanta Hawks,16255,.447,14.1,.651,.263,.126,.103,.158,.349,.491,.586,.425,.415,.435,.364,.496,.042,220,.226,691,.842,.254,.417
Boston Celtics,16155,.453,13.4,.688,.280,.162,.094,.151,.312,.507,.624,.431,.403,.433,.335,.499,.046,241,.243,789,.842,.215,.358
Brooklyn Nets,15675,.463,13.1,.699,.289,.155,.104,.151,.301,.501,.619,.419,.396,.434,.373,.473,.051,279,.257,831,.786,.223,.388
Chicago Bulls,16155,.462,12.9,.703,.308,.151,.093,.152,.297,.507,.617,.416,.419,.428,.356,.529,.052,276,.275,877,.846,.231,.399
Charlotte Hornets,16230,.450,14.0,.641,.291,.116,.088,.146,.359,.500,.599,.429,.436,.399,.359,.508,.038,201,.256,837,.866,.228,.382
Cleveland Cavaliers,15700,.456,13.3,.678,.290,.148,.107,.132,.322,.498,.626,.395,.409,.404,.368,.522,.045,233,.250,822,.838,.241,.381
Dallas Mavericks,15940,.467,13.6,.687,.258,.157,.109,.163,.313,.508,.670,.436,.412,.386,.377,.481,.045,213,.217,693,.796,.260,.405
Denver Nuggets,16155,.478,13.1,.711,.288,.151,.105,.166,.289,.518,.639,.467,.447,.401,.377,.503,.051,276,.245,836,.841,.223,.416
Detroit Pistons,15940,.459,13.3,.698,.261,.171,.112,.152,.302,.502,.652,.381,.457,.416,.359,.530,.038,189,.227,755,.852,.223,.381
Golden State Warriors,15940,.438,13.3,.684,.291,.156,.096,.140,.316,.488,.623,.382,.373,.405,.330,.504,.050,269,.249,827,.833,.203,.374
Houston Rockets,16180,.461,13.4,.674,.286,.166,.082,.139,.326,.516,.693,.407,.375,.365,.349,.501,.049,272,.256,957,.819,.241,.374
Indiana Pacers,15965,.449,14.1,.655,.261,.146,.095,.152,.345,.500,.637,.418,.421,.392,.352,.485,.047,239,.246,776,.879,.253,.391
Los Angeles Clippers,16155,.451,13.6,.692,.265,.149,.120,.157,.308,.494,.653,.431,.392,.364,.353,.527,.051,271,.228,764,.818,.219,.386
Los Angeles Lakers,16080,.481,13.2,.683,.300,.150,.090,.144,.317,.532,.674,.438,.404,.413,.370,.537,.068,352,.242,852,.855,.211,.382
Memphis Grizzlies,16280,.444,14.0,.642,.276,.145,.085,.136,.358,.495,.627,.427,.379,.375,.351,.479,.043,205,.248,742,.820,.244,.391
Miami Heat,16155,.447,12.4,.730,.302,.164,.120,.144,.270,.484,.581,.428,.454,.370,.346,.442,.043,224,.265,779,.841,.242,.377
Milwaukee Bucks,15915,.457,13.1,.658,.317,.140,.092,.109,.342,.508,.624,.429,.370,.387,.360,.543,.053,261,.270,832,.874,.302,.399
Minnesota Timberwolves,15940,.466,13.0,.679,.312,.140,.091,.136,.321,.518,.652,.428,.392,.391,.357,.480,.059,307,.265,840,.857,.216,.409
New Orleans Pelicans,16065,.447,13.6,.666,.283,.152,.098,.133,.334,.498,.650,.376,.389,.390,.346,.498,.053,288,.242,837,.819,.220,.360
New York Knicks,16255,.453,12.7,.681,.328,.144,.084,.124,.319,.502,.603,.415,.395,.410,.348,.467,.054,281,.283,909,.833,.221,.403
Oklahoma City Thunder,15940,.460,12.1,.715,.324,.174,.101,.115,.285,.501,.623,.404,.410,.388,.357,.457,.051,252,.279,910,.841,.239,.388
Orlando Magic,16395,.464,13.0,.694,.306,.150,.101,.138,.306,.506,.627,.440,.372,.404,.371,.502,.059,297,.255,842,.839,.224,.407
Philadelphia 76ers,15965,.462,12.9,.706,.298,.154,.108,.146,.294,.504,.639,.389,.436,.398,.360,.488,.051,271,.255,827,.833,.214,.420
Phoenix Suns,16230,.469,13.1,.699,.302,.140,.105,.151,.301,.506,.637,.383,.433,.410,.384,.461,.050,258,.260,858,.815,.211,.464
Portland Trail Blazers,15850,.455,13.3,.698,.275,.162,.109,.152,.302,.488,.572,.443,.450,.408,.381,.433,.039,193,.238,690,.807,.194,.356
Sacramento Kings,16280,.463,14.2,.637,.234,.178,.085,.141,.363,.515,.663,.448,.424,.406,.372,.521,.052,256,.217,708,.845,.240,.423
San Antonio Spurs,15940,.441,12.8,.712,.291,.168,.103,.149,.288,.483,.603,.370,.418,.422,.337,.500,.052,257,.252,748,.825,.245,.324
Toronto Raptors,16155,.452,13.4,.669,.275,.173,.092,.128,.331,.499,.646,.393,.393,.401,.357,.494,.052,269,.248,760,.841,.238,.364
Utah Jazz,16155,.442,12.8,.718,.295,.163,.112,.148,.282,.474,.596,.379,.389,.399,.359,.412,.049,237,.246,722,.777,.189,.382
Washington Wizards,16015,.462,13.5,.680,.287,.149,.100,.144,.320,.508,.637,.395,.455,.404,.365,.493,.051,263,.243,782,.826,.213,.391
