team_name,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Golden State Warriors,43.7,86.9,12.2,31.7,31.5,55.3,19.6,24.8,.792,9.1,35.1,44.1,31.4,9.5,6.6,15.1,20.0,119.1
Portland Trail Blazers,40.3,88.1,11.0,30.1,29.3,58.0,18.7,23.4,.798,9.4,33.3,42.7,22.3,6.9,4.8,13.3,22.5,110.2
Los Angeles Lakers,39.1,87.1,8.8,25.4,30.4,61.7,18.0,23.3,.775,11.5,33.1,44.6,21.3,8.5,3.6,16.1,20.7,105.1
Los Angeles Clippers,38.8,83.5,10.0,26.4,28.9,57.1,21.5,28.4,.757,9.1,34.7,43.8,22.4,9.2,4.9,12.5,20.5,109.0
Houston Rockets,40.3,86.5,14.0,37.0,26.3,49.5,16.8,22.3,.753,11.6,32.3,43.9,24.3,7.4,5.1,16.2,20.4,111.4
Toronto Raptors,40.6,84.6,9.3,23.9,31.3,60.7,20.4,25.1,.813,10.6,32.1,42.7,20.3,9.2,4.6,12.4,21.6,110.8
Oklahoma City Thunder,40.8,88.8,9.0,25.7,31.9,63.1,17.5,23.9,.732,10.8,34.9,45.7,22.4,7.8,5.2,15.7,20.9,108.0
Phoenix Suns,39.3,89.0,7.7,23.1,31.7,65.9,20.1,26.6,.756,11.5,34.2,45.6,18.6,8.8,4.3,16.1,25.3,106.4
Denver Nuggets,38.6,88.9,9.2,25.3,29.5,63.7,19.9,26.8,.743,12.8,36.8,49.6,21.7,6.4,4.3,16.1,20.8,106.3
Detroit Pistons,39.6,87.0,7.1,20.2,32.5,66.8,14.1,18.4,.767,9.8,34.8,44.6,21.1,6.9,4.0,11.7,17.2,100.4
Atlanta Hawks,38.1,84.6,8.5,26.0,29.7,58.6,15.4,22.2,.695,10.3,33.9,44.1,23.2,9.1,5.2,17.0,17.3,100.2
Charlotte Hornets,37.7,85.8,10.2,28.7,27.6,57.1,19.6,26.6,.738,8.7,36.5,45.2,24.3,6.7,5.4,11.9,16.9,105.2
Minnesota Timberwolves,38.0,84.5,8.4,23.8,29.6,60.8,20.5,26.1,.785,11.9,30.5,42.3,22.2,8.3,5.1,14.7,21.6,104.8
Boston Celtics,38.6,85.9,11.1,30.8,27.5,55.1,16.4,20.9,.787,9.5,32.5,42.0,24.4,7.2,4.7,12.4,21.3,104.7
Utah Jazz,36.3,78.2,9.2,25.9,27.0,52.3,17.7,22.7,.782,7.9,34.6,42.5,18.5,6.2,5.1,12.3,19.4,99.5
San Antonio Spurs,37.1,80.4,8.8,21.9,28.4,58.6,20.0,24.4,.820,9.2,32.6,41.8,22.7,8.0,5.8,12.8,17.8,103.0
New Orleans Pelicans,38.4,85.7,7.8,24.3,30.6,61.4,18.0,23.4,.769,7.9,35.5,43.4,23.2,8.2,6.5,13.3,19.1,102.5
Memphis Grizzlies,35.2,82.8,8.5,25.2,26.7,57.5,18.6,23.6,.786,9.9,31.9,41.8,20.1,8.6,5.6,14.0,23.9,97.5
Brooklyn Nets,37.6,87.1,11.5,35.2,26.1,51.9,18.7,24.1,.777,9.3,34.4,43.7,20.7,8.0,4.4,16.7,20.5,105.3
New York Knicks,39.8,89.1,9.1,25.4,30.7,63.7,15.4,19.7,.783,11.8,32.9,44.7,22.3,7.6,5.5,13.7,21.5,104.2
Cleveland Cavaliers,38.9,85.7,13.3,34.3,25.6,51.4,18.9,24.7,.766,9.9,34.2,44.1,22.7,6.7,4.6,13.8,18.0,110.0
Indiana Pacers,40.1,87.9,7.9,22.5,32.2,65.4,15.8,20.1,.785,9.3,33.4,42.7,22.8,9.2,6.1,15.3,20.1,103.8
Chicago Bulls,38.8,88.0,6.6,20.6,32.2,67.4,19.4,24.0,.807,13.8,34.8,48.6,21.2,7.9,5.3,13.5,17.8,103.6
Philadelphia 76ers,36.6,84.7,10.8,29.5,25.8,55.2,13.9,18.9,.735,8.8,34.4,43.2,22.6,7.8,5.7,17.3,21.9,97.9
Sacramento Kings,37.5,83.4,8.1,23.4,29.4,59.9,19.6,25.2,.777,9.6,32.4,42.0,21.9,7.6,4.2,14.6,21.0,102.6
Miami Heat,37.1,86.0,8.3,25.0,28.8,61.0,14.6,21.8,.670,11.5,33.4,44.8,19.9,7.3,5.9,12.8,20.7,97.1
Milwaukee Bucks,39.1,85.4,8.4,24.8,30.7,60.6,17.2,22.1,.776,10.3,34.6,44.9,24.4,8.9,5.7,14.8,21.4,103.7
Orlando Magic,35.1,84.3,8.0,24.6,27.1,59.7,15.0,20.8,.720,10.6,34.4,45.0,20.5,6.4,5.8,13.7,18.0,93.0
Washington Wizards,39.4,87.3,7.5,21.4,31.9,65.9,16.6,21.6,.769,11.2,32.2,43.4,21.3,8.8,4.2,15.1,22.2,102.9
Dallas Mavericks,34.2,82.9,9.4,29.4,24.7,53.5,14.1,17.7,.795,9.4,31.3,40.7,18.7,7.8,3.7,12.9,19.5,91.8
