team_name,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_fg2,opp_fg2a,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
Utah Jazz,36.2,81.9,8.2,22.9,28.0,58.9,15.9,21.0,.761,8.9,31.3,40.2,17.8,7.2,3.8,12.2,20.3,96.5
San Antonio Spurs,36.8,83.2,8.1,23.7,28.7,59.4,16.5,21.3,.776,9.7,31.5,41.3,21.3,7.6,3.9,14.6,20.1,98.3
Dallas Mavericks,36.9,78.7,9.4,24.9,27.4,53.7,17.2,22.3,.770,8.8,35.5,44.3,21.0,6.4,3.5,15.0,19.6,100.4
Memphis Grizzlies,34.8,78.6,9.9,28.1,25.0,50.5,20.6,27.3,.755,9.1,33.0,42.1,20.2,6.9,5.1,14.4,21.2,100.2
Miami Heat,37.7,84.2,7.8,22.7,30.0,61.6,18.6,23.9,.779,10.4,33.5,43.8,19.6,6.7,4.9,13.6,18.6,101.8
Toronto Raptors,37.3,83.0,9.7,27.3,27.7,55.7,18.7,24.0,.779,10.1,32.1,42.1,21.9,6.7,4.8,14.6,20.5,103.0
Chicago Bulls,39.9,86.5,9.1,25.6,30.8,60.9,14.4,18.8,.766,10.3,32.7,43.0,23.8,7.3,4.7,13.3,19.0,103.2
Detroit Pistons,38.3,83.3,9.2,25.2,29.1,58.0,16.4,21.1,.779,8.0,34.8,42.8,23.3,6.7,4.1,12.7,17.6,102.3
Atlanta Hawks,38.9,87.3,10.9,30.2,28.0,57.1,15.5,20.2,.767,10.9,33.1,44.0,23.4,9.2,5.3,15.5,21.8,104.1
Milwaukee Bucks,38.1,82.9,10.0,28.0,28.0,54.9,18.0,23.3,.770,10.4,31.9,42.2,24.0,7.2,4.7,14.8,19.5,104.1
Golden State Warriors,38.6,88.8,9.1,27.9,29.5,60.9,17.9,23.4,.765,11.6,31.9,43.5,22.5,8.6,3.9,15.7,19.5,104.2
Charlotte Hornets,39.3,86.7,11.3,31.3,28.1,55.5,14.5,18.7,.773,9.0,35.4,44.5,24.2,6.6,5.6,12.9,20.1,104.4
Minnesota Timberwolves,39.4,83.2,9.6,26.6,29.8,56.6,17.5,22.8,.768,9.8,30.5,40.3,22.7,7.6,4.9,14.4,20.5,105.9
Oklahoma City Thunder,39.4,85.7,8.9,24.9,30.5,60.8,18.4,24.1,.762,9.3,31.5,40.7,21.5,8.5,5.4,13.8,20.9,106.1
Boston Celtics,38.7,85.6,8.9,26.9,29.7,58.7,18.7,24.7,.759,10.8,33.6,44.5,22.6,7.6,5.2,14.1,20.2,105.1
Cleveland Cavaliers,40.6,88.7,10.3,28.2,30.4,60.5,15.2,19.7,.773,11.2,33.1,44.3,24.4,7.3,4.4,12.6,20.6,106.7
Indiana Pacers,38.1,84.7,10.2,29.1,27.9,55.7,19.0,24.0,.790,10.9,33.8,44.7,22.4,8.1,5.1,14.8,19.5,105.4
New Orleans Pelicans,39.7,88.9,10.5,30.0,29.2,58.9,15.9,20.8,.766,10.5,37.6,48.1,23.1,7.4,4.3,13.8,19.4,105.8
Sacramento Kings,38.3,82.7,11.0,29.8,27.3,52.9,18.8,24.2,.779,10.0,32.9,42.9,23.6,8.5,5.1,14.1,20.3,106.3
Orlando Magic,39.9,86.1,9.5,26.0,30.4,60.1,17.4,22.7,.767,9.9,35.6,45.5,23.3,7.6,5.2,13.1,18.9,106.7
Washington Wizards,39.5,85.1,9.9,27.2,29.7,57.9,18.3,24.4,.750,10.6,32.5,43.1,22.8,7.3,4.6,15.4,20.0,107.2
Philadelphia 76ers,39.1,86.0,8.9,25.0,30.3,61.0,20.4,26.4,.772,10.9,34.2,45.1,22.3,8.6,5.4,15.1,19.7,107.5
Los Angeles Clippers,38.7,85.4,9.3,26.3,29.4,59.1,18.2,23.6,.774,10.2,33.1,43.3,23.0,7.2,3.2,13.2,22.4,104.9
New York Knicks,39.9,88.0,9.8,28.0,30.1,60.0,18.8,24.4,.771,11.8,33.4,45.2,22.0,7.6,4.6,12.8,18.5,108.4
Houston Rockets,40.8,88.0,10.1,29.1,30.8,59.0,17.3,22.3,.775,10.5,33.1,43.6,23.8,8.6,5.0,15.4,20.5,109.0
Portland Trail Blazers,39.2,86.5,9.5,25.8,29.7,60.8,21.0,26.8,.784,10.1,33.8,43.9,20.7,7.9,5.2,12.7,19.9,109.0
Denver Nuggets,42.1,87.9,9.8,25.8,32.4,62.1,17.2,22.0,.783,9.3,31.2,40.5,24.2,8.4,4.8,12.1,20.3,111.3
Los Angeles Lakers,41.8,86.5,10.2,27.5,31.6,59.1,18.5,24.3,.762,10.5,34.3,44.8,25.6,8.6,5.3,14.2,18.7,112.2
Brooklyn Nets,41.8,90.9,9.9,27.0,31.9,63.9,19.5,25.3,.771,11.0,36.1,47.1,22.9,9.6,5.7,13.2,20.5,112.9
Phoenix Suns,40.1,85.7,9.9,25.8,30.2,59.9,22.8,29.1,.784,10.0,33.9,43.9,22.2,8.1,5.4,15.1,22.2,112.9
