team_name,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Houston Rockets,40.4,86.5,14.5,39.5,26.0,46.9,18.9,24.7,.767,10.6,33.0,43.7,25.5,8.3,4.7,15.7,20.0,114.3
Golden State Warriors,43.7,87.2,11.9,30.9,31.7,56.3,18.7,23.6,.790,9.0,36.2,45.2,31.0,9.4,6.4,15.2,19.2,118.0
Portland Trail Blazers,39.5,86.7,10.2,28.3,29.3,58.4,18.4,23.4,.785,9.7,32.8,42.5,22.2,7.0,5.1,13.8,21.7,107.6
Toronto Raptors,39.7,85.6,9.3,24.8,30.4,60.8,20.9,25.9,.810,10.9,31.7,42.6,18.8,9.0,5.1,12.0,20.9,109.6
New York Knicks,40.2,89.9,9.3,25.7,30.9,64.3,16.5,20.9,.788,12.4,34.0,46.4,21.8,7.0,5.9,14.3,21.0,106.2
Boston Celtics,39.2,86.2,12.1,32.8,27.1,53.4,17.8,21.7,.818,9.3,32.0,41.4,25.4,7.5,4.5,12.6,20.3,108.2
Los Angeles Lakers,38.4,86.5,9.1,25.8,29.3,60.7,17.8,23.2,.766,11.6,32.3,43.9,20.5,7.7,3.7,15.2,20.5,103.6
Los Angeles Clippers,39.2,83.8,10.4,27.3,28.8,56.5,19.0,25.4,.748,9.5,34.1,43.6,22.5,7.6,4.7,13.2,20.5,107.8
Cleveland Cavaliers,39.1,85.6,12.8,33.4,26.3,52.1,18.7,25.0,.749,10.1,34.1,44.2,21.8,7.4,4.0,14.0,18.0,109.6
Phoenix Suns,39.2,87.3,8.0,23.1,31.3,64.2,20.0,25.6,.782,11.9,32.6,44.5,18.3,8.4,4.3,15.7,25.0,106.4
Oklahoma City Thunder,39.3,86.3,8.4,25.9,30.9,60.5,19.0,25.6,.740,11.2,34.5,45.7,21.3,7.6,5.2,15.1,20.4,106.0
Brooklyn Nets,38.0,85.7,11.1,32.6,26.9,53.1,18.8,23.7,.794,8.7,35.0,43.6,21.2,7.2,4.6,16.7,20.8,105.8
Denver Nuggets,40.4,87.2,9.7,26.9,30.7,60.2,19.8,26.0,.764,12.2,34.3,46.5,24.2,6.6,4.2,15.4,20.2,110.3
Charlotte Hornets,37.8,85.7,9.7,27.3,28.1,58.4,19.9,24.9,.801,9.4,35.9,45.3,23.4,6.6,5.1,12.1,17.0,105.2
San Antonio Spurs,39.8,83.1,9.3,22.6,30.5,60.4,18.6,22.8,.814,9.3,33.6,42.9,24.3,7.9,5.6,12.9,18.3,107.4
Washington Wizards,40.9,86.1,8.7,23.4,32.3,62.8,16.1,20.6,.783,10.1,32.7,42.8,23.3,8.6,4.0,14.5,21.2,106.7
Memphis Grizzlies,36.2,84.2,9.2,26.1,27.0,58.1,18.5,23.7,.782,10.8,32.7,43.5,20.7,8.5,4.5,12.9,23.7,100.2
Orlando Magic,38.3,86.8,8.9,26.5,29.5,60.3,14.5,20.2,.718,9.8,33.1,42.9,22.4,6.8,5.2,13.1,18.8,100.1
Minnesota Timberwolves,38.7,83.9,7.9,22.4,30.8,61.4,18.9,24.0,.785,11.4,31.5,42.9,23.2,7.6,4.9,14.7,20.7,104.2
Atlanta Hawks,38.8,85.5,9.0,26.1,29.8,59.5,17.1,23.6,.723,10.4,33.5,43.9,24.3,8.5,5.0,15.4,17.9,103.8
Indiana Pacers,39.5,84.9,8.3,22.7,31.2,62.2,18.7,22.8,.817,8.3,33.3,41.6,22.4,8.8,5.4,14.2,19.5,106.0
Chicago Bulls,37.7,86.5,6.4,20.2,31.3,66.3,19.8,24.6,.803,13.2,34.0,47.2,20.8,7.8,5.2,13.6,17.3,101.6
New Orleans Pelicans,38.7,87.6,9.6,26.9,29.1,60.8,16.4,22.0,.746,8.8,35.8,44.6,23.0,7.6,6.0,12.6,18.4,103.5
Sacramento Kings,37.4,81.9,9.1,25.1,28.3,56.9,19.5,25.1,.779,9.3,31.3,40.6,22.4,8.1,4.0,14.3,21.0,103.4
Milwaukee Bucks,39.4,83.6,8.5,23.2,30.9,60.4,17.4,22.9,.763,9.7,32.6,42.3,24.6,8.2,5.4,14.1,20.1,104.7
Miami Heat,38.0,85.3,9.0,25.7,29.0,59.7,14.5,21.4,.678,10.2,33.4,43.6,21.1,7.0,5.4,13.2,20.5,99.6
Utah Jazz,36.0,78.0,9.4,25.9,26.7,52.1,17.8,23.6,.755,8.8,33.8,42.6,19.2,6.5,5.0,13.6,18.9,99.3
Detroit Pistons,39.5,87.0,7.8,23.0,31.8,64.0,14.0,19.0,.734,10.1,34.0,44.1,21.0,7.1,3.9,12.1,18.5,100.8
Philadelphia 76ers,37.1,84.2,10.6,29.7,26.5,54.6,16.2,21.2,.762,9.5,33.3,42.9,23.7,8.1,5.8,17.0,21.8,100.9
Dallas Mavericks,36.1,82.3,10.7,30.3,25.4,52.1,14.2,17.7,.804,8.3,30.0,38.2,20.1,7.8,3.8,11.9,19.3,97.1
