team_name,W_PCT,HOME_RECORD,ROAD_RECORD,L10,CurrentStreak
New York Knicks,0.4117647058823529,0.47058823529411764,0.35294117647058826,0.4,1
Los Angeles Lakers,0.208955223880597,0.28125,0.14285714285714285,0.3,-2
Memphis Grizzlies,0.5909090909090909,0.7058823529411765,0.46875,0.6,-1
Philadelphia 76ers,0.13636363636363635,0.18181818181818182,0.09090909090909091,0.1,-1
San Antonio Spurs,0.8484848484848485,1.0,0.7058823529411765,0.9,3
Houston Rockets,0.5,0.5483870967741935,0.45714285714285713,0.5,-1
Detroit Pistons,0.5151515151515151,0.6333333333333333,0.4166666666666667,0.7,1
Boston Celtics,0.5909090909090909,0.6764705882352942,0.5,0.7,-1
Miami Heat,0.5757575757575758,0.6363636363636364,0.5151515151515151,0.6,-1
Orlando Magic,0.4307692307692308,0.5151515151515151,0.34375,0.3,-1
Portland Trail Blazers,0.5223880597014925,0.6363636363636364,0.4117647058823529,0.5,1
Golden State Warriors,0.9076923076923077,1.0,0.8285714285714286,0.9,4
Chicago Bulls,0.5,0.6363636363636364,0.3548387096774194,0.4,-2
Washington Wizards,0.46153846153846156,0.48484848484848486,0.4375,0.4,-5
Dallas Mavericks,0.5,0.5428571428571428,0.45161290322580644,0.4,-5
Minnesota Timberwolves,0.3181818181818182,0.3333333333333333,0.30303030303030304,0.4,1
Oklahoma City Thunder,0.6666666666666666,0.7428571428571429,0.5806451612903226,0.4,-2
Charlotte Hornets,0.5692307692307692,0.7352941176470589,0.3870967741935484,0.8,7
Milwaukee Bucks,0.43283582089552236,0.625,0.2571428571428571,0.5,3
Los Angeles Clippers,0.6461538461538462,0.6470588235294118,0.6451612903225806,0.6,-1
Toronto Raptors,0.6875,0.7878787878787878,0.5806451612903226,0.8,3
Utah Jazz,0.4696969696969697,0.6060606060606061,0.3333333333333333,0.3,2
Phoenix Suns,0.25757575757575757,0.3333333333333333,0.18181818181818182,0.3,-3
Sacramento Kings,0.38461538461538464,0.42424242424242425,0.34375,0.1,-5
New Orleans Pelicans,0.36923076923076925,0.53125,0.21212121212121213,0.2,-3
Cleveland Cavaliers,0.7230769230769231,0.8181818181818182,0.625,0.7,3
Atlanta Hawks,0.5671641791044776,0.6363636363636364,0.5,0.7,2
Brooklyn Nets,0.2727272727272727,0.3235294117647059,0.21875,0.3,-4
Indiana Pacers,0.5303030303030303,0.6333333333333333,0.4444444444444444,0.5,-1
Denver Nuggets,0.42424242424242425,0.45714285714285713,0.3870967741935484,0.6,4
