team_name,W_PCT,HOME_RECORD,ROAD_RECORD,L10,CurrentStreak
New York Knicks,0.39473684210526316,0.4594594594594595,0.3333333333333333,0.3,-3
Los Angeles Lakers,0.21333333333333335,0.2894736842105263,0.13513513513513514,0.2,1
Memphis Grizzlies,0.5466666666666666,0.6578947368421053,0.43243243243243246,0.2,-4
Philadelphia 76ers,0.12,0.16216216216216217,0.07894736842105263,0.0,-10
San Antonio Spurs,0.84,1.0,0.6756756756756757,0.8,2
Houston Rockets,0.49333333333333335,0.5555555555555556,0.4358974358974359,0.4,1
Detroit Pistons,0.5333333333333333,0.6578947368421053,0.40540540540540543,0.7,1
Boston Celtics,0.581081081081081,0.6756756756756757,0.4864864864864865,0.5,-1
Miami Heat,0.581081081081081,0.6578947368421053,0.5,0.6,-1
Orlando Magic,0.4189189189189189,0.5405405405405406,0.2972972972972973,0.3,2
Portland Trail Blazers,0.52,0.6666666666666666,0.38461538461538464,0.5,2
Golden State Warriors,0.9066666666666666,1.0,0.8205128205128205,0.9,6
Chicago Bulls,0.5,0.631578947368421,0.3611111111111111,0.5,1
Washington Wizards,0.48,0.5,0.4594594594594595,0.6,-2
Dallas Mavericks,0.49333333333333335,0.5526315789473685,0.43243243243243246,0.4,2
Minnesota Timberwolves,0.3333333333333333,0.34210526315789475,0.32432432432432434,0.5,-1
Oklahoma City Thunder,0.6933333333333334,0.7692307692307693,0.6111111111111112,0.8,-1
Charlotte Hornets,0.581081081081081,0.7105263157894737,0.4444444444444444,0.7,2
Milwaukee Bucks,0.41333333333333333,0.5945945945945946,0.23684210526315788,0.4,1
Los Angeles Clippers,0.6351351351351351,0.6756756756756757,0.5945945945945946,0.5,4
Toronto Raptors,0.6756756756756757,0.7631578947368421,0.5833333333333334,0.6,1
Utah Jazz,0.49333333333333335,0.6216216216216216,0.3684210526315789,0.7,-1
Phoenix Suns,0.26666666666666666,0.35135135135135137,0.18421052631578946,0.3,-4
Sacramento Kings,0.4,0.4594594594594595,0.34210526315789475,0.5,1
New Orleans Pelicans,0.36486486486486486,0.5135135135135135,0.21621621621621623,0.3,-1
Cleveland Cavaliers,0.7027027027027027,0.8108108108108109,0.5945945945945946,0.6,-1
Atlanta Hawks,0.5921052631578947,0.6486486486486487,0.5384615384615384,0.8,-1
Brooklyn Nets,0.28378378378378377,0.3684210526315789,0.19444444444444445,0.3,-2
Indiana Pacers,0.527027027027027,0.6216216216216216,0.43243243243243246,0.5,-1
Denver Nuggets,0.42105263157894735,0.4594594594594595,0.38461538461538464,0.4,1
