team_name,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_fg2,opp_fg2a,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
Utah Jazz,36.3,81.9,8.2,22.9,28.1,59.1,16.0,20.8,.768,9.0,31.2,40.1,17.9,7.3,3.8,12.1,20.2,96.8
San Antonio Spurs,37.0,83.5,8.1,23.7,28.8,59.8,16.1,20.8,.773,9.8,31.8,41.5,21.4,7.5,4.0,14.4,19.8,98.1
Memphis Grizzlies,35.0,78.9,9.9,28.0,25.0,50.9,20.2,26.8,.752,9.3,32.9,42.2,20.0,7.0,5.0,14.3,20.9,100.0
Dallas Mavericks,37.1,78.9,9.6,25.3,27.4,53.6,17.2,22.3,.771,8.8,35.7,44.5,21.3,6.6,3.4,15.0,19.4,100.9
Miami Heat,37.9,84.2,7.8,22.7,30.0,61.5,18.6,23.8,.782,10.2,33.4,43.7,19.7,6.8,5.0,13.7,18.7,102.1
Detroit Pistons,38.3,83.2,9.3,25.6,29.0,57.7,16.4,21.1,.778,8.0,34.8,42.8,23.5,6.7,4.1,12.8,17.4,102.3
Chicago Bulls,39.6,86.6,9.0,25.8,30.6,60.8,14.6,19.0,.770,10.3,32.9,43.2,23.7,7.3,4.7,13.4,18.8,102.8
Toronto Raptors,37.3,83.0,9.7,27.2,27.7,55.8,18.5,23.8,.781,10.1,31.9,42.0,21.8,6.7,4.7,14.6,20.4,102.9
Milwaukee Bucks,38.0,82.9,9.9,28.0,28.0,54.8,17.9,23.1,.772,10.3,32.1,42.4,24.0,7.4,4.6,14.8,19.3,103.7
Atlanta Hawks,38.8,87.3,10.9,30.6,27.9,56.7,15.6,20.2,.771,10.7,33.2,43.9,23.4,9.0,5.2,15.5,21.7,104.0
Golden State Warriors,38.8,89.1,9.0,27.9,29.7,61.2,17.8,23.3,.763,11.8,31.9,43.7,22.7,8.6,3.9,15.5,19.3,104.4
Los Angeles Clippers,38.6,85.4,9.2,26.5,29.3,58.9,18.1,23.5,.772,10.3,33.0,43.2,23.0,7.1,3.2,13.3,22.4,104.5
Boston Celtics,38.7,85.8,9.0,27.0,29.7,58.8,19.2,25.0,.768,10.8,33.8,44.5,22.5,7.6,5.1,13.9,20.3,105.5
Indiana Pacers,38.1,84.4,10.3,29.1,27.7,55.3,19.0,24.1,.789,10.8,33.6,44.4,22.4,8.1,5.0,14.9,19.6,105.6
Oklahoma City Thunder,39.2,85.3,8.9,24.8,30.4,60.5,18.5,24.2,.763,9.2,31.4,40.6,21.4,8.5,5.5,13.7,20.7,105.8
Charlotte Hornets,39.5,86.5,11.6,31.4,27.9,55.0,14.2,18.2,.776,8.9,35.5,44.4,24.5,6.6,5.5,13.0,19.9,104.7
Minnesota Timberwolves,39.5,83.1,9.8,26.6,29.7,56.5,17.7,23.0,.770,9.8,30.6,40.3,23.0,7.6,5.0,14.3,20.6,106.5
New Orleans Pelicans,40.1,89.1,10.5,29.8,29.6,59.2,15.9,20.8,.765,10.6,37.7,48.3,23.4,7.4,4.3,13.8,19.3,106.5
Sacramento Kings,38.4,83.2,10.9,30.0,27.5,53.2,18.9,24.2,.778,10.0,32.8,42.9,23.6,8.5,5.1,14.0,20.1,106.6
Cleveland Cavaliers,40.7,88.9,10.4,28.7,30.3,60.1,15.6,20.1,.775,11.0,33.2,44.2,24.7,7.3,4.3,12.7,20.6,107.3
Washington Wizards,39.6,85.0,9.9,27.2,29.7,57.9,18.3,24.3,.751,10.5,32.4,42.9,22.9,7.4,4.6,15.3,19.9,107.3
Orlando Magic,40.3,86.1,9.7,26.2,30.6,59.9,17.4,22.6,.769,9.7,35.8,45.5,23.7,7.6,5.1,13.1,18.7,107.6
New York Knicks,39.7,87.3,9.9,28.3,29.8,59.0,18.8,24.3,.772,11.6,33.3,44.8,21.8,7.5,4.6,12.9,18.4,108.0
Philadelphia 76ers,39.5,85.9,8.9,25.0,30.7,61.0,20.1,25.9,.774,10.7,34.3,45.0,22.7,8.6,5.4,15.1,19.7,108.1
Portland Trail Blazers,39.2,86.1,9.3,25.1,29.9,61.0,20.9,26.6,.786,10.1,33.9,44.0,20.6,7.7,5.3,12.9,19.8,108.5
Houston Rockets,41.1,88.8,10.0,29.2,31.1,59.6,17.3,22.3,.778,10.7,33.3,44.0,24.0,8.5,5.0,15.1,20.5,109.5
Denver Nuggets,42.1,88.2,9.9,26.2,32.2,62.0,17.2,21.9,.783,9.4,31.4,40.7,24.1,8.3,4.9,12.0,20.1,111.3
Los Angeles Lakers,41.5,86.0,10.1,27.3,31.4,58.7,18.3,24.0,.763,10.2,34.1,44.3,25.7,8.4,5.3,14.4,18.6,111.5
Brooklyn Nets,41.6,90.8,9.9,27.2,31.7,63.6,19.3,25.0,.772,11.0,36.0,47.0,23.0,9.4,5.6,13.3,20.4,112.5
Phoenix Suns,40.2,86.2,10.1,26.3,30.2,59.9,22.8,29.1,.783,10.2,33.8,44.0,22.2,8.1,5.3,14.9,22.2,113.3
