team_name,W_PCT,HOME_RECORD,ROAD_RECORD,L10,CurrentStreak
New York Knicks,0.4166666666666667,0.4838709677419355,0.3448275862068966,0.2,1
Los Angeles Lakers,0.18333333333333332,0.23076923076923078,0.14705882352941177,0.2,-8
Memphis Grizzlies,0.5862068965517241,0.7,0.4642857142857143,0.6,-1
Philadelphia 76ers,0.13793103448275862,0.17857142857142858,0.1,0.1,-7
San Antonio Spurs,0.847457627118644,1.0,0.7096774193548387,0.9,5
Houston Rockets,0.4915254237288136,0.5333333333333333,0.4482758620689655,0.4,-1
Detroit Pistons,0.5084745762711864,0.6071428571428571,0.41935483870967744,0.4,3
Boston Celtics,0.5833333333333334,0.6551724137931034,0.5161290322580645,0.7,2
Miami Heat,0.5517241379310345,0.6,0.5,0.5,-2
Orlando Magic,0.43859649122807015,0.5,0.37037037037037035,0.4,-2
Portland Trail Blazers,0.5254237288135594,0.6129032258064516,0.42857142857142855,0.8,1
Golden State Warriors,0.9137931034482759,1.0,0.8529411764705882,0.9,5
Chicago Bulls,0.5172413793103449,0.6333333333333333,0.39285714285714285,0.3,-2
Washington Wizards,0.47368421052631576,0.4666666666666667,0.48148148148148145,0.6,1
Dallas Mavericks,0.5254237288135594,0.5862068965517241,0.4666666666666667,0.4,1
Minnesota Timberwolves,0.3220338983050847,0.3333333333333333,0.3103448275862069,0.5,1
Oklahoma City Thunder,0.6949152542372882,0.7575757575757576,0.6153846153846154,0.5,-2
Charlotte Hornets,0.5263157894736842,0.6785714285714286,0.3793103448275862,0.8,1
Milwaukee Bucks,0.4067796610169492,0.6153846153846154,0.24242424242424243,0.4,-2
Los Angeles Clippers,0.6551724137931034,0.6551724137931034,0.6551724137931034,0.6,1
Toronto Raptors,0.6842105263157895,0.7777777777777778,0.6,0.7,4
Utah Jazz,0.4827586206896552,0.6129032258064516,0.3333333333333333,0.5,-2
Phoenix Suns,0.2542372881355932,0.34375,0.14814814814814814,0.1,1
Sacramento Kings,0.42105263157894735,0.4827586206896552,0.35714285714285715,0.4,-2
New Orleans Pelicans,0.39655172413793105,0.5517241379310345,0.2413793103448276,0.5,-1
Cleveland Cavaliers,0.7192982456140351,0.8275862068965517,0.6071428571428571,0.6,-1
Atlanta Hawks,0.5423728813559322,0.6,0.4827586206896552,0.5,1
Brooklyn Nets,0.288135593220339,0.3333333333333333,0.23076923076923078,0.5,2
Indiana Pacers,0.5344827586206896,0.6428571428571429,0.43333333333333335,0.6,-1
Denver Nuggets,0.3898305084745763,0.39285714285714285,0.3870967741935484,0.4,-1
