team_name,W_PCT,HOME_RECORD,ROAD_RECORD,L10,CurrentStreak
New York Knicks,0.4067796610169492,0.4666666666666667,0.3448275862068966,0.1,-2
Los Angeles Lakers,0.1864406779661017,0.24,0.14705882352941177,0.2,-7
Memphis Grizzlies,0.5892857142857143,0.7,0.46153846153846156,0.7,1
Philadelphia 76ers,0.14035087719298245,0.18518518518518517,0.1,0.1,-6
San Antonio Spurs,0.8448275862068966,1.0,0.7,0.9,4
Houston Rockets,0.5,0.5517241379310345,0.4482758620689655,0.4,1
Detroit Pistons,0.5,0.6071428571428571,0.4,0.4,2
Boston Celtics,0.576271186440678,0.6428571428571429,0.5161290322580645,0.7,1
Miami Heat,0.5614035087719298,0.6,0.5185185185185185,0.6,-1
Orlando Magic,0.44642857142857145,0.5,0.38461538461538464,0.4,-1
Portland Trail Blazers,0.5172413793103449,0.6129032258064516,0.4074074074074074,0.8,-1
Golden State Warriors,0.9122807017543859,1.0,0.8484848484848485,0.9,4
Chicago Bulls,0.5357142857142857,0.6551724137931034,0.4074074074074074,0.4,3
Washington Wizards,0.4642857142857143,0.4666666666666667,0.46153846153846156,0.5,-1
Dallas Mavericks,0.5172413793103449,0.5714285714285714,0.4666666666666667,0.4,-1
Minnesota Timberwolves,0.3103448275862069,0.3333333333333333,0.2857142857142857,0.4,-1
Oklahoma City Thunder,0.7068965517241379,0.78125,0.6153846153846154,0.6,-1
Charlotte Hornets,0.5178571428571429,0.6785714285714286,0.35714285714285715,0.7,-1
Milwaukee Bucks,0.41379310344827586,0.64,0.24242424242424243,0.4,-1
Los Angeles Clippers,0.6491228070175439,0.6551724137931034,0.6428571428571429,0.6,-1
Toronto Raptors,0.6785714285714286,0.7692307692307693,0.6,0.7,3
Utah Jazz,0.49122807017543857,0.6333333333333333,0.3333333333333333,0.6,-1
Phoenix Suns,0.2413793103448276,0.3225806451612903,0.14814814814814814,0.0,-13
Sacramento Kings,0.42857142857142855,0.5,0.35714285714285715,0.4,-1
New Orleans Pelicans,0.40350877192982454,0.5714285714285714,0.2413793103448276,0.5,1
Cleveland Cavaliers,0.7321428571428571,0.8275862068965517,0.6296296296296297,0.7,1
Atlanta Hawks,0.5344827586206896,0.5862068965517241,0.4827586206896552,0.4,-3
Brooklyn Nets,0.27586206896551724,0.3333333333333333,0.2,0.4,1
Indiana Pacers,0.543859649122807,0.6666666666666666,0.43333333333333335,0.6,1
Denver Nuggets,0.39655172413793105,0.39285714285714285,0.4,0.5,1
