team_name,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Golden State Warriors,43.2,86.8,12.0,31.5,31.2,55.3,19.6,24.9,.788,9.4,34.9,44.3,31.0,9.6,6.5,14.9,20.6,118.0
Los Angeles Lakers,39.1,87.1,8.5,24.8,30.5,62.3,18.5,23.8,.778,11.6,32.8,44.4,20.8,8.4,3.4,16.3,20.9,105.2
Portland Trail Blazers,39.7,87.7,11.2,30.4,28.6,57.2,18.6,23.4,.796,9.6,33.3,42.9,22.2,6.9,4.8,13.5,22.6,109.2
Houston Rockets,40.2,86.0,14.0,37.2,26.1,48.8,17.3,22.9,.754,11.6,33.2,44.8,24.9,7.9,4.7,16.2,20.1,111.6
Los Angeles Clippers,39.2,84.2,10.2,27.0,29.0,57.2,20.7,27.4,.756,9.7,34.3,44.0,22.5,8.8,4.7,12.8,20.9,109.3
Detroit Pistons,39.2,86.8,7.3,21.1,31.8,65.7,13.5,17.9,.753,9.7,34.8,44.5,20.9,7.2,4.0,11.6,17.5,99.1
Phoenix Suns,39.5,89.1,8.1,24.3,31.4,64.8,19.7,25.9,.760,11.4,34.2,45.6,18.7,8.7,4.3,16.0,25.7,106.8
New Orleans Pelicans,38.1,87.0,8.1,25.2,30.0,61.8,18.2,23.6,.768,8.4,35.8,44.1,22.7,7.8,6.0,13.2,19.1,102.5
Oklahoma City Thunder,40.4,87.9,8.5,25.9,31.8,62.0,17.4,24.5,.710,10.8,35.5,46.3,22.2,7.9,5.3,15.8,20.3,106.7
Toronto Raptors,40.3,84.7,9.6,24.2,30.7,60.5,20.9,25.6,.817,10.7,31.9,42.6,20.2,8.9,4.5,11.9,21.5,111.0
Denver Nuggets,38.6,88.3,9.1,25.8,29.5,62.4,19.8,26.7,.742,13.1,36.2,49.3,21.6,6.5,4.3,16.6,21.0,106.2
Indiana Pacers,39.3,86.0,8.1,22.2,31.2,63.8,18.4,22.8,.806,9.0,33.2,42.2,22.3,9.2,5.8,15.0,19.8,105.0
New York Knicks,39.8,88.9,9.3,25.8,30.6,63.1,15.9,20.2,.786,12.0,33.9,45.9,22.1,7.2,5.9,14.0,21.4,104.8
Charlotte Hornets,37.7,85.6,9.6,27.6,28.0,58.0,19.8,26.5,.746,8.8,37.3,46.1,23.6,6.3,5.0,11.8,16.9,104.7
Utah Jazz,36.4,78.4,9.7,26.8,26.7,51.7,18.0,23.0,.781,8.3,34.4,42.7,19.2,6.4,5.4,12.9,19.5,100.5
Boston Celtics,38.7,86.4,11.2,31.2,27.5,55.2,16.0,20.3,.785,9.6,32.8,42.3,24.8,7.2,4.5,12.3,21.0,104.5
Minnesota Timberwolves,38.0,84.1,8.1,23.5,29.9,60.7,19.7,25.5,.774,12.0,30.5,42.4,21.6,7.5,4.5,14.6,21.5,103.9
San Antonio Spurs,37.9,81.9,9.0,22.6,28.9,59.3,18.5,22.7,.818,9.0,33.0,42.0,23.3,8.2,5.8,12.8,18.0,103.4
Cleveland Cavaliers,39.4,84.6,13.5,33.8,25.9,50.8,19.1,25.0,.765,10.0,34.4,44.3,22.7,6.8,4.5,13.9,18.3,111.5
Memphis Grizzlies,35.3,84.1,8.3,25.1,27.0,59.0,19.1,24.4,.781,10.4,33.5,43.9,20.0,8.6,5.4,13.8,23.8,98.0
Atlanta Hawks,38.3,84.4,8.4,25.9,29.9,58.5,16.0,22.6,.707,10.3,33.7,44.0,23.9,9.2,5.4,17.0,17.5,100.8
Orlando Magic,35.7,84.3,8.4,25.1,27.4,59.2,15.0,21.1,.712,9.8,33.8,43.6,21.0,6.5,5.6,13.0,18.0,94.8
Chicago Bulls,38.2,86.7,6.1,19.7,32.1,67.0,20.6,25.4,.810,13.4,35.1,48.5,20.7,7.8,5.6,13.7,17.6,103.0
Sacramento Kings,37.3,84.4,8.2,23.9,29.2,60.6,19.3,24.8,.779,9.7,32.1,41.9,21.9,8.2,4.0,13.9,20.6,102.2
Philadelphia 76ers,36.5,84.2,10.8,30.0,25.7,54.2,13.8,19.0,.724,8.9,34.5,43.4,22.7,8.0,5.9,17.1,21.8,97.6
Brooklyn Nets,37.8,86.7,11.1,34.0,26.6,52.6,19.3,24.7,.781,9.5,34.5,44.0,20.8,7.9,4.3,16.9,20.0,106.0
Miami Heat,37.0,86.2,8.3,24.9,28.7,61.3,14.6,21.8,.672,12.0,32.3,44.3,20.1,7.1,5.7,12.9,20.3,96.8
Milwaukee Bucks,39.0,84.5,8.7,24.9,30.2,59.7,17.5,22.6,.775,9.7,34.6,44.3,23.7,8.4,5.6,14.8,21.0,104.2
Washington Wizards,39.7,87.4,7.9,22.0,31.8,65.5,16.7,21.6,.773,10.9,31.5,42.4,21.8,9.1,4.0,14.6,22.0,104.0
Dallas Mavericks,34.3,82.7,9.9,30.0,24.4,52.7,14.2,18.0,.792,9.0,30.7,39.7,19.0,7.6,3.6,12.7,19.5,92.7
