team_name,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_fg2,opp_fg2a,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
Milwaukee Bucks,36.5,85.5,9.5,30.5,27.1,55.0,19.0,24.1,.790,10.6,33.3,43.9,22.8,8.1,5.6,14.6,20.2,101.5
Dallas Mavericks,36.0,78.0,9.8,25.1,26.2,53.0,17.7,23.2,.765,8.3,36.8,45.1,20.5,6.9,3.9,15.6,19.7,99.4
Cleveland Cavaliers,40.4,89.7,9.9,28.0,30.4,61.7,14.4,18.9,.760,11.2,32.2,43.3,23.9,7.1,5.1,12.6,22.0,105.1
Miami Heat,37.0,84.5,8.0,22.3,29.0,62.1,17.7,22.3,.793,10.8,34.7,45.5,20.1,6.1,6.0,13.4,18.8,99.6
Sacramento Kings,37.3,82.2,10.4,28.4,26.9,53.8,19.9,26.0,.765,9.9,33.0,42.9,22.9,8.1,6.0,14.7,22.3,104.9
Chicago Bulls,38.8,86.8,9.0,24.5,29.8,62.3,13.8,18.7,.735,11.0,32.1,43.1,23.6,7.8,4.9,13.5,20.0,100.3
Washington Wizards,39.3,84.2,10.3,26.7,29.1,57.5,18.2,25.6,.712,10.6,33.1,43.7,23.1,8.2,5.1,15.9,20.4,107.1
San Antonio Spurs,36.8,81.8,8.5,24.6,28.3,57.2,15.6,20.3,.770,9.0,32.2,41.2,21.3,7.3,4.0,14.0,20.3,97.8
Orlando Magic,37.7,85.8,8.0,23.6,29.7,62.1,14.6,19.6,.747,10.1,34.8,44.9,21.0,7.3,5.7,12.5,18.9,98.0
Toronto Raptors,37.3,83.0,9.9,28.2,27.4,54.8,18.3,24.0,.765,10.9,31.6,42.5,22.1,6.3,4.3,15.9,20.5,102.8
Charlotte Hornets,39.2,89.9,10.7,30.9,28.5,59.0,14.0,18.0,.775,9.5,35.8,45.3,23.6,7.0,5.4,12.8,21.7,103.0
Los Angeles Clippers,36.3,83.4,8.3,23.0,28.0,60.4,18.3,23.5,.776,9.5,33.1,42.6,20.0,6.9,3.1,15.4,24.0,99.1
Boston Celtics,37.7,85.0,9.1,27.0,28.6,58.0,19.4,25.1,.773,11.5,34.9,46.3,22.2,7.0,5.8,14.3,19.1,104.0
Utah Jazz,35.7,83.0,8.0,22.0,27.8,60.9,16.1,21.2,.760,9.9,31.4,41.3,17.8,6.6,3.9,11.7,20.2,95.5
Minnesota Timberwolves,38.4,81.5,9.0,25.8,29.4,55.7,19.7,25.3,.778,9.2,32.0,41.2,21.2,8.1,5.3,15.3,21.0,105.6
Detroit Pistons,36.1,83.3,8.2,24.7,27.9,58.6,16.2,21.1,.769,9.4,34.1,43.5,21.3,6.4,4.9,12.5,16.7,96.7
New York Knicks,38.3,86.0,9.0,25.5,29.4,60.5,20.7,27.0,.765,12.3,32.9,45.1,20.6,7.7,4.8,13.5,18.4,106.3
Golden State Warriors,39.3,90.7,8.9,27.2,30.4,63.5,19.0,24.4,.779,12.1,31.8,43.9,22.4,8.9,3.3,15.1,21.1,106.4
Atlanta Hawks,39.0,87.4,9.6,27.0,29.5,60.4,14.6,19.1,.764,10.2,33.3,43.5,21.8,10.3,5.0,16.3,20.9,102.3
Houston Rockets,39.7,86.5,10.0,27.4,29.7,59.1,18.0,22.7,.792,10.0,31.0,41.0,22.4,8.7,5.0,14.0,19.0,107.4
Memphis Grizzlies,34.4,78.7,9.3,27.2,25.1,51.6,20.3,27.4,.742,8.2,34.0,42.3,19.4,7.2,6.0,15.3,21.7,98.4
Indiana Pacers,39.7,87.8,10.0,30.0,29.7,57.8,18.5,23.5,.787,12.1,35.4,47.5,23.7,8.6,6.0,16.3,20.0,108.0
Brooklyn Nets,43.0,91.2,10.9,29.3,32.1,61.9,17.5,22.6,.774,10.8,36.9,47.7,24.7,10.5,5.6,14.6,21.2,114.4
Denver Nuggets,40.6,88.6,8.6,24.6,32.0,64.0,19.2,25.0,.769,9.3,33.3,42.7,22.5,9.1,5.9,12.0,22.7,109.0
Oklahoma City Thunder,39.3,88.4,8.6,25.5,30.6,62.9,17.6,23.6,.746,9.9,32.4,42.2,21.4,8.7,5.5,14.2,19.8,104.8
New Orleans Pelicans,39.5,89.8,9.9,28.8,29.7,61.0,16.5,21.4,.769,10.2,38.6,48.9,24.3,7.6,4.3,13.9,19.8,105.4
Philadelphia 76ers,39.9,87.4,9.1,26.1,30.8,61.3,18.3,24.7,.741,10.9,35.4,46.3,22.1,9.0,5.7,13.5,19.5,107.1
Phoenix Suns,40.3,86.8,10.0,25.3,30.3,61.4,22.6,28.7,.786,9.1,35.0,44.1,23.3,8.0,6.1,15.9,22.2,113.1
Portland Trail Blazers,40.3,87.9,9.4,25.9,30.9,62.0,22.3,28.2,.792,10.8,35.1,46.0,20.9,7.5,5.5,13.0,19.5,112.4
Los Angeles Lakers,41.2,86.3,9.6,27.8,31.6,58.5,17.3,23.3,.743,10.0,33.1,43.0,26.0,9.3,5.2,14.2,19.0,109.3
